회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
오비고,2021-07-13,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),IT/소프트웨어,14300,347.92,1720.74,1123.74,7.68,77.6,45.5,-26.9,시장 규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 
큐라클,2021-07-22,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,25000,533.33,5333.3,1219.27,7.23,99.0,-19.6,-23.2,의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 이상 수준으로 평가함. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않으며 높은 수준의 기술력을 가진 기업으로
맥스트,2021-07-27,코스닥,기술평가특례,기술특례,하나증권주식회사,IT/소프트웨어,15000,150.0,1500.0,1587.01,39.13,346.0,258.0,155.0,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 각각 A, BBB 등급 이상을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2021년 05월 20일 상장예비심"
원티드랩,2021-08-11,코스닥,성장성/사업모델,기술특례(성장성),한국투자증권(주),IT/소프트웨어,35000,255.5,2468.1,1503.91,10.98,125.1,75.7,46.3,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
딥노이드,2021-08-17,코스닥,기술평가특례,기술특례,KB증권(주),IT/소프트웨어,42000,126.0,1260.0,1179.07,7.29,-4.2,-34.3,-57.0,"당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여, 평가결과가 일정 등급 이상일 경우 적용되는 기술성장기업 특례를 적용 받"
바이젠셀,2021-08-25,코스닥,기술평가특례,기술특례,"대신증권(주),KB증권(주)",바이오/헬스케어,52700,994.17,9941.7,1271.21,13.61,-18.7,-53.1,-63.0,"전략이 필요한 것으로 사료됨. 동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 [BBB]로 의견을 제시함 이와 같이 당사는 외부평가 기관으로부터 기술평가특례"
에이비온,2021-09-08,코스닥,기술평가특례,기술특례,,바이오/헬스케어,17000,387.6,,139.36,4.3,-0.6,-41.8,-42.5,어 성장성은 높은 수준으로 판단된다. 동사는 높은 수준의 기술력을 보유하고 장래의 환경변화에 크게 영향을 받지 않을 기업으로 기술평가등급[A]로 의견을 제시한다.&cr; SCI평가정보 BBB ○ 에이비온(주)(이하 
프롬바이오,2021-09-28,코스닥,이익미실현,이익미실현,엔에이치투자증권(주),소비재/유통,18000,432.0,2547.9,85.71,1.45,-20.6,-49.1,-60.3,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
차백신연구소,2021-10-22,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,11000,434.5,37078.95,206.23,1.93,-7.7,-31.1,-56.6,"련이 필요한 것으로 판단된다. 동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가 등급 [BBB]로 의견을 제시한다. &cr;이와 같이 당사는 외부평가 기관으로부터"
지니너스,2021-11-08,코스닥,기술평가특례,기술특례,대신증권(주),바이오/헬스케어,20000,400.0,2173.86,66.03,0.1,-36.7,-45.0,-63.6,"당사는 「코스닥시장 상장규정」제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4호의2호에 따라 관리종목 지정과 상장폐"
비트나인,2021-11-10,코스닥,기술평가특례,기술특례,하나증권주식회사,IT/소프트웨어,11000,227.81,2278.1,1662.29,5.96,24.6,31.8,-38.8,모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 높은 수준 의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을
디어유,2021-11-10,코스닥,이익미실현,이익미실현,한국투자증권(주),IT/소프트웨어,26000,858.0,8580.0,2001.11,37.46,172.3,73.7,-0.4,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
지오엘리먼트,2021-11-11,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),기계/장비,10000,154.7,4641.0,1613.84,15.23,352.5,120.0,143.5,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용되는 기술성장기업 특례를 적용 받
툴젠,2021-12-10,코스닥,기술평가특례,기술특례,,바이오/헬스케어,70000,700.0,,29.54,0.1,15.4,-7.4,-25.3,"㈜라트바이오 2021.08 CRISPR 유전자가위 기술 관련 License-out ㈜젬크로 2021.09 기술특례상장을 위한 기술평가 등급 획득 SCI평가정보: A, 농업기술실용화재단: A 2021.11 한국거래소 "
애드바이오텍,2022-01-24,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,49.48,,,,,,"(소재부품장비 기술개발) 2020.12 중소벤처기업부 장관표창(벤처기업진흥 유공) 2020.12 코스닥시장 상장 추진을 위한 기술평가 등급 수령 (한국기업데이터A, 농업실용화재단BBB) 2021.02 지식재산 경영인"
스코넥,2022-02-04,코스닥,기술평가특례,기술특례,신영증권(주),엔터/미디어/게임,13000,289.42,2894.2,1724.66,59.95,69.6,-2.3,9.6,의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 A 수
이지트로닉스,2022-02-04,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),2차전지/에너지,22000,435.6,1827.68,1343.51,2.94,-21.8,-33.2,-50.9,로 판매하고 있는 점과 DC 배전 및 폐배터리 재활용 컨버터 등의 기술을 꾸준히 개발하고 있는 점 등을 종합적으로 고려할 때 기술평가등급은 [A]로 평가됨. 기술성장기업 상장특례 적용 기업은 코스닥시장 상장예비심사 
바이오에프디엔씨,2022-02-21,코스닥,기술평가특례,기술특례,DB증권주식회사,바이오/헬스케어,28000,364.0,2481.2,74.01,11.8,-30.9,-14.1,-35.6,"것으로 사료된다.&cr;&cr;동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 [BBB]로 의견을 제시함. &cr;한편, 코스닥시장 상장을 위해 상장예비심사"
퓨런티어,2022-02-23,코스닥,기술평가특례,기술특례,"신한투자증권 주식회사,유안타증권(주)",기계/장비,15000,240.0,2400.0,1535.42,11.08,37.3,77.0,42.3,규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 
풍원정밀,2022-02-28,코스닥,기술평가특례,기술특례,대신증권(주),반도체/디스플레이,15200,456.0,4560.0,1556.53,11.0,14.5,15.5,-32.5,"당사는 코스닥시장 상장요건 중 전문평가기관으로부터 기술 등에 대한 평가를 받아 A 등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술특례상장)으로서, 2021년 12월 16일 상장예비심사 승인을"
노을,2022-03-03,코스닥,기술평가특례,기술특례,"한국투자증권(주),삼성증권(주)",바이오/헬스케어,10000,150.0,1950.0,31.5,0.0,-24.3,-30.2,-28.0,의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않을 높은 수준의 기술력을 보유한 A 수준
모아데이타,2022-03-10,코스닥,기술평가특례,기술특례,하나증권주식회사,IT/소프트웨어,20000,160.0,1600.0,114.19,0.87,-25.7,-34.5,56.2,"당사는 기술성장기업(기술 특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2022년도를 포함한 연속하는 5개 사업연도 (2026년도까지), 법인세비용차감전계속사업손실 요건의 경우 신"
비플라이소프트,2022-06-20,코스닥,기술평가특례,기술특례,,IT/소프트웨어,,,,111.05,0.76,,,,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 2개 기관(한국기업데이터, 나이스평가정보)으로부터 A, BBB 등급을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로"
보로노이,2022-06-24,코스닥,기술평가특례,기술특례,"한국투자증권(주),미래에셋증권 주식회사",바이오/헬스케어,40000,520.0,14000.0,28.35,0.0,-5.8,-16.5,8.2,"당사는 코스닥시장 상장요건 중 기술성장특례 요건, 특히 시장평가 우수기업 기술평가 절차 간소화를 적용 받"
레이저쎌,2022-06-24,코스닥,기술평가특례,기술특례,삼성증권(주),기계/장비,16000,256.0,2560.0,1442.95,12.43,-17.2,-54.8,-33.8,성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨 .&cr;&cr;O 동사의 최종기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수
넥스트칩,2022-07-01,코스닥,기술평가특례,기술특례,대신증권(주),반도체/디스플레이,13000,338.0,2574.0,1623.41,11.58,-5.0,-41.0,14.2,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일로부터 상장일이 속한 사업연도의 말일까지 기간이 3월미만인 경우에는 그 다음 사업연도), 세전이익 요건의"
코난테크놀로지,2022-07-07,코스닥,기술평가특례,기술특례,한국투자증권(주),IT/소프트웨어,25000,300.0,2520.0,1482.6,7.07,3.4,9.4,175.2,모 및 성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않을 수준의 높은 기술력을 가진 A 수준으
영창케미칼,2022-07-14,코스닥,기술평가특례,기술특례,하나증권주식회사,화학/소재,18600,446.4,3720.0,1616.27,5.92,-25.3,-36.3,-27.2,". 현재 동사의 핵심기술의 기술적, 사업적 우위성 측면과 반도체 소재의 국산화 기술이라는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가된다. SCI&cr;평가정보 A 1. 기술성 영창케미칼 주식회사"
성일하이텍,2022-07-28,코스닥,이익미실현,이익미실현,"대신증권(주),KB증권(주)",화학/소재,50000,1335.0,10866.9,2269.68,38.66,130.2,93.6,153.4,"유의하시기 바랍니다.&cr;&cr; 마. 공모가 산정방식의 한계에 따른 위험&cr; &cr;당사는 「코스닥시장 상장규정」 제28조 제1항 제2호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요건"
에이프릴바이오,2022-07-28,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,16000,207.36,1789.36,14.43,10.66,27.5,7.8,23.8,을 종합적으로 고려할 시 동사는 우수한 기술력을 보유한 기업이나 장래의 환경변화에 상당한 영향을 받을 수있는기업으로 판단되어 기술평가등급[BBB]로 의견을 제시함. 【 최근 3개년 요약 손익계산서 】 (단위: 백만원
아이씨에이치,2022-07-29,코스닥,기술평가특례,기술특례,삼성증권(주),소비재/유통,34000,401.2,3519.0,57.28,12.47,-29.6,-40.5,-47.4,"로 판단됨. 결론적으로 동사는 높은 수준의 기술력을 보유하고 장래의 환경변화에 크게 영향을 받지 않을 기업으로 판단되는 바, 기술평가등급[A]로 의견을 제시함. 당사가 수령한 A등급은 기술기반기업 전문평가의 평가등급"
더블유씨피,2022-09-30,코스닥,이익미실현,이익미실현,"신한투자증권 주식회사,KB증권(주)",2차전지/에너지,60000,4320.0,20217.91,33.28,4.24,-16.9,-28.3,-4.2,"서비스를 제공받은 사실이 없습니다.(주9) 정정 전 바. 공모가 산정방식의 한계에 따른 위험 당사는 「코스닥시장 상장규정」 제28조 제1항 제2호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요"
선바이오,2022-10-05,코스닥,기술평가특례,기술특례(성장성),,바이오/헬스케어,,,67.76,,,,,,"평가기관 평가대상기술명 평가결과 평가일 성장성 기반기업 기술보증기금 다양한 PEG유도체 소재, PEGylation 핵심기술 기술평가등급 AA 21.05.10 한국기업데이터 생체고분자 PEG 유도체 소재, PEGyla"
에스비비테크,2022-10-17,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,기계/장비,12400,223.2,1488.0,1644.01,32.54,99.6,420.2,280.6,"해 2021년 9월 6일 기술평가를 신청하였으며, 한국거래소가 지정한 전문평가기관 나이스디앤비로부터 2021년 10월 18일 기술평가등급 A등급을 수령하였습니다. 상장규정상 기술성장기업으로서 기술특례상장 요건을 기준"
샤페론,2022-10-19,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,5000,137.35,1184.23,26.0,5.47,61.4,23.0,-15.0,"가능성이 논의될 수 있을 것으로 판단됨. 동사는 차별화된 우수한 기술력을 보유하고 있고, 높은 성장 가능성을 보유한 기업으로 기술평가등급[A]로 의견을 제시함. 이와 같이 당사는 외부평가 기관으로부터 기술평가특례 상"
핀텔,2022-10-20,코스닥,기술평가특례,기술특례,대신증권(주),IT/소프트웨어,8900,178.0,1780.0,558.92,8.74,24.2,-18.0,-44.4,"증을 바탕으로 스마트시티 교통, 보안 분야 시장에서 국내 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨 한국산업기술 평가관리원 BBB 신청사는 6개의 세부 요소기술"
플라즈맵,2022-10-21,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,7000,123.97,1239.7,39.78,1.91,-2.0,-12.1,-28.3,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도("
뉴로메카,2022-11-04,코스닥,기술평가특례,기술특례,대신증권(주),기계/장비,16900,253.5,2535.0,1652.13,7.6,-6.2,78.1,73.7,"회사 기술성평가를 위한 2차 현장실사 (기술보증기금, 이크레더블) 21.11.16 뉴로메카 본사 1) 상장예비심사신청을 위한 기술평가 등급수령(기술보증기금, 이크레더블) 2) 사업계획에 따른 영업 진행 현황 검토 3"
윤성에프앤씨,2022-11-14,코스닥,이익미실현,이익미실현,미래에셋증권 주식회사,화학/소재,49000,977.43,7477.4,67.49,0.14,-11.6,179.0,138.8,"조 제1항 제2호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
티에프이,2022-11-17,코스닥,기술평가특례,일반,IBK투자증권(주),반도체/디스플레이,10500,283.5,2835.0,1295.18,5.3,-20.9,-15.4,278.1,"기술에 의한 향후 미래 성장가능성이 높으며, 미래 수익창출 가능성이 높은 기업으로 평가되었습니다. 동사가 수령한 평가결과 및 기술평가등급 체계 및 등급별 정의는 아래와 같습니다. 번호 인증/허가명 인증/허가 내용 평"
엔젯,2022-11-18,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,기계/장비,10000,210.0,1052.08,42.15,6.0,9.0,152.0,27.0,"당사는 기술성장기업으로 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용"
인벤티지랩,2022-11-22,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,12000,124.8,247.0,14.37,0.0,-15.4,-26.7,9.5,"의 시장규모 및 성장잠재력과 기술제품의 경쟁력을 감안할 시 전반적인 시장성은 보통 수준으로 평가됨. 이에 따라, 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 BBB"
SAMG엔터,2022-12-06,코스닥,성장성/사업모델,기술특례,엔에이치투자증권(주),엔터/미디어/게임,17000,238.0,1650.4,,,86.2,58.5,33.8,"수준의 사업성을 가진 기업이며, 자체 보유한 사업경쟁력에 기반하여 장래 환경변화에 크게 영향을 받지 않을 수준으로 판단되어 사업평가등급 [A]로 의견을 제시함. 【전문평가의 평가항목 중 사업모델기업 평가표】 구분 ("
티이엠씨,2023-01-19,코스닥,기술평가특례,기술특례,한화투자증권(주),화학/소재,28000,504.0,616.0,31.33,0.42,33.0,82.9,65.0,스코기술투자㈜ 계열 펀드 투자 유치 (2차) 2022.05 한화투자증권 외 투자 유치 2022.06 상장특례 기술평가 완료 (기술평가등급: A) 3. 자본금 변동사항 당사의 자본금 변동사항은 년도별로 각각 다음과 같
오브젠,2023-01-30,코스닥,기술평가특례,기술특례,한국투자증권(주),IT/소프트웨어,18000,139.67,6033.96,98.49,2.22,252.2,143.9,36.1,"민석 주임 - 상장예정법인: 이형인 대표이사, 전배문 사내이사, 유용희 사내이사, 김홍구 전무, 전배중 상무 3. 내용 1) 기술평가 등급 확보에 따른 신청 등 향후 일정 점검 2) 제3자배정 유상증자 관련 준비/진"
샌즈랩,2023-02-15,코스닥,기술평가특례,기술특례,키움증권(주),IT/소프트웨어,10500,388.5,1586.65,1325.79,1.41,57.7,-11.9,-4.2,당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업으로서 상장심사수수료 및 상장수수료 면제 대상에 해당합니다
제이오,2023-02-16,코스닥,기술평가특례,기술특례,한국투자증권(주),건설/인프라,13000,520.0,900.0,352.61,4.33,111.2,113.5,55.8,시장규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수
자람테크놀로지,2023-03-07,코스닥,기술평가특례,기술특례,신영증권(주),반도체/디스플레이,22000,204.6,1620.0,1702.43,11.42,119.5,34.5,105.0,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A 등급 이상을 취득한 기술성장기업(기술특례상장)으로서, 2022년 9월 29일 상장예비심사 승인을 득"
지아이이노베이션,2023-03-30,코스닥,기술평가특례,기술특례,"엔에이치투자증권(주),하나증권주식회사,삼성증권(주)",바이오/헬스케어,13000,260.0,2600.0,26.7,0.23,52.3,96.9,94.5,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도("
마이크로투나노,2023-04-26,코스닥,기술평가특례,기술특례,한국투자증권(주),반도체/디스플레이,15500,155.0,641.28,1716.98,10.83,35.2,-14.6,-6.5,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A 등급 이상을 취득한 기술성장기업(기술특례상장)으로서, 2023년 02월 23일 상장예비심사 승인을 득"
에스바이오메딕스,2023-05-04,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,바이오/헬스케어,18000,135.0,1350.0,854.29,1.94,-17.6,-59.3,103.9,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도("
씨유박스,2023-05-19,코스닥,기술평가특례,기술특례,"신한투자증권 주식회사,SK증권(주)",IT/소프트웨어,15000,225.0,1865.59,86.44,3.69,-18.2,-50.4,-61.8,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2023년 2월 2일 상장예비심사 승인을 득"
모니터랩,2023-05-19,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,IT/소프트웨어,9800,196.0,1960.0,1715.41,6.06,16.9,-37.2,-36.7,"당사는 기술성장기업(기술특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2023년도를 포함한 연속하는 5개 사업연도 (2027년도까지), 법인세비용차감전계속사업손실 요건의 경우 신규"
큐라티스,2023-06-15,코스닥,기술평가특례,기술특례,"대신증권(주),신영증권(주)",바이오/헬스케어,4000,140.0,4200.0,52.89,0.0,13.0,-36.1,-67.9,"전망됨.상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으나 장래의 환경변화에 다소 영향을 받을 기업으로 판단되어 기술평가등급 [BBB]의 의견을 제시함. [전문평가의 평가등급 체계 및 등급별 정의] 평가"
프로테옴텍,2023-06-16,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,,94.1,21.25,,,,"당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업에 해당하고, 코스닥이전상장이므로 제88조에 따른 상장심사수수료 및 상장수수료 면제 대상에 해당합니다"
알멕,2023-06-30,코스닥,이익미실현,이익미실현,엔에이치투자증권(주),화학/소재,50000,500.0,5000.0,1697.23,51.12,59.0,-6.9,-29.7,"조 제1항 제2호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
오픈놀,2023-06-30,코스닥,성장성/사업모델,기술특례,하나증권주식회사,IT/소프트웨어,10000,165.0,21916.1,510.36,0.58,-28.2,12.8,-40.6,"과가 본격화되기 전인 경우가 많습니다.당사는 직무역량 중심의 커리어 교육 및 채용 플랫폼인 미니인턴 플랫폼에 대해 코스닥시장 기술성장특례(사업모델 기업) 요건을 기반으로 상장을 추진하기 위해, 2022년 5월 기술평"
이노시뮬레이션,2023-07-06,코스닥,기술평가특례,기술특례,하나증권주식회사,IT/소프트웨어,15000,135.0,1042.06,1869.47,5.98,-3.5,15.4,-47.5,"레코드 현황, 투자비용, 기간을 고려할 시 장래 환경변화에 대응할 수 있는 높은 수준의 기술력을 가진 기업으로 판단되는 바, 기술평가 등급 [A]로 의견을 제시함. NICE디앤비 A ㈜이노시뮬레이션(이하 동사)는 2"
센서뷰,2023-07-19,코스닥,기술평가특례,기술특례,삼성증권(주),화학/소재,4500,175.5,1755.0,1673.33,7.41,-8.9,26.5,-25.6,"유일의 업체로서, 세계 RF 연결 솔루션 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨. 환경변화에 크게 영향을 받지 않을 기업으로 판단되는 바, 기"
와이랩,2023-07-20,코스닥,성장성/사업모델,기술특례(성장성),한국투자증권(주),엔터/미디어/게임,9000,270.0,5563.6,1821.64,14.72,49.6,3.4,-9.6,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
버넥트,2023-07-26,코스닥,기술평가특례,기술특례,대신증권(주),IT/소프트웨어,16000,307.2,3072.0,1520.08,8.63,-28.2,-41.8,-69.9,"기업으로 평가함.상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으며, 미래 성장성이 예상되는 기업으로 판단되어 기술평가등급[A]의 의견을 제시함. 한국기술신용평가 A 동사는 서울특별시 용산구에 위치한 중"
파로스아이바이오,2023-07-27,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,14000,196.0,19650.12,303.31,1.32,12.5,2.1,-9.6,"것으로 전망됨. 상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으며, 미래 성장성이 예상되는 기업으로 판단되어 기술평가등급 [A]의 의견을 제시함. 기술보증기금 BBB ㈜파로스아이바이오는 희귀·난치성 질"
시지트로닉스,2023-08-03,코스닥,기술평가특례,기술특례,유안타증권(주),반도체/디스플레이,25000,225.0,1620.0,1703.85,5.62,-20.2,-49.1,-59.0,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도("
파두,2023-08-07,코스닥,기술평가특례,기술특례,"한국투자증권(주),엔에이치투자증권(주)",반도체/디스플레이,31000,1937.5,19375.0,362.9,21.87,36.9,-33.7,-44.5,성 관련 자문 및 검토 한국거래소 기술평가 신청 2022.06.15 한국거래소 코스닥시장 기술성특례상장을 위한 기술평가 신청 기술평가 등급 수령 2022.09.16 기술평과 결과 수령(이크레더블 AA / 한국전자통신
큐리옥스바이오시스템즈,2023-08-10,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,13000,182.0,1041.43,191.61,2.63,393.9,162.3,216.1,당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업으로서 상장심사수수료 및 상장수수료 면제 대상에 해당합니다
스마트레이더시스템,2023-08-22,코스닥,기술평가특례,기술특례,대신증권(주),자동차/모빌리티,8000,177.6,1776.0,1813.42,6.98,148.1,71.6,-10.1,솔루션에 대한 설명- 현장 질의 응답 2022.11.25~2022.11.30 본사 회의실 1. 코스닥시장 기술특례상장을 위한 기술평가등급 수령- 기술평가 등급 확보에 따른 상장예비심사신청 일정 점검- 최근 기술성장기
시큐레터,2023-08-24,코스닥,기술평가특례,기술특례,대신증권(주),IT/소프트웨어,12000,160.07,734.12,1544.73,3.14,101.3,-21.7,,"당사는 기술성장기업(기술특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2023년도를 포함한 연속하는 5개 사업연도 (2027년도까지), 법인세비용차감전계속사업손실 요건의 경우 신규"
아이엠티,2023-10-10,코스닥,기술평가특례,기술특례,유안타증권(주),기계/장비,14000,221.2,2212.0,753.5,22.2,58.2,53.9,-30.9,당사는「코스닥시장 상장규정」 제30조제1항에서 정하는 기술성장기업으로서 면제 대상에 해당합니다
퀄리타스반도체,2023-10-27,코스닥,기술평가특례,기술특례,한국투자증권(주),반도체/디스플레이,17000,306.0,5307.03,818.52,22.25,26.5,86.8,-40.6,"한 국내 유일의 업체로서, 세계 인터페이스 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨. [전문평가의 평가등급 체계 및 등급별 정의] 평가등급 등급"
큐로셀,2023-11-09,코스닥,기술평가특례,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,20000,320.0,1224.51,20.88,4.74,20.3,64.8,47.0,"원가경쟁력을 가질 수 있을 것으로 예상됨. 위와 같은 당사의 기술적 차별성과 경쟁력, 시장현황 등을 종합적으로 고려한 결과, 기술평가등급을 A 등급(높은 수준의 기술력을 가진 기업)으로 평가함. 기술보증기금 BBB "
