회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
셀레믹스,2020-08-21,코스닥,기술평가특례,기술특례(성장성),대신증권(주),바이오/헬스케어,20000,264.0,5280.0,1203.41,5.41,21.5,21.8,-3.8,당사는 코스닥시장 상장요건 중 기술성장기업 중 ‘성장성추천’ 적용 기업으로 상장예비심사 승인을 득
이오플로우,2020-09-14,코스닥,기술평가특례,기술특례(성장성),하나증권주식회사,바이오/헬스케어,19000,266.0,5400.0,150.87,14.83,134.2,247.4,170.5,업무 소개 - 성장성 특례제도를 통한 코스닥시장 상장 검토 (2) 성장성 특례제도 상장주선인 요건 검토 (3) 07월 05일 기술평가 등급 수령(한국기업데이터 : A) 2019.07.09 ~ 2019.07.12 ■ 
압타머사이언스,2020-09-16,코스닥,성장성/사업모델,기술특례(성장성),키움증권(주),바이오/헬스케어,25000,325.0,2231.53,830.32,3.27,-19.4,-8.4,0.8,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
박셀바이오,2020-09-22,코스닥,기술평가특례,기술특례,하나증권주식회사,바이오/헬스케어,30000,295.55,2310.0,94.18,11.68,-18.0,721.4,426.7,"평가대상기업은 의사 출신 공동창업자(이준행,이제중)가 국가연구과제 수행성과를 바탕으로 설립한 연구개발 중심의 바이오기업임. 기술평가등급은 A등급으로 높은 수준의 기술력을 가진 기업(장래 환경변화에 크게 영향을 받지 "
넥스틴,2020-10-08,코스닥,기술평가특례,기술특례,KB증권(주),기계/장비,75400,241.28,,30.25,23.3,5.2,211.7,123.1,제조사의 국산화 정책과 세계 무역 동향 등을 고려할 경우 보유 기술력에 기반한 지속적인 수주 물량 확보 가능성이 높음에 따라 기술평가등급은 A 로 판단됨. &cr; 처. 주가의 일일가격제한폭 확대에 따른 가격변동 위
피플바이오,2020-10-19,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,20000,100.0,1180.49,40.4,0.0,116.8,114.5,48.2,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
바이브컴퍼니,2020-10-28,코스닥,기술평가특례,기술특례(성장성),한국투자증권(주),IT/소프트웨어,28000,182.0,14560.02,1221.45,7.96,26.1,12.3,31.1,모 및 성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 
센코,2020-10-29,코스닥,기술평가특례,기술특례,한국투자증권(주),기계/장비,13000,209.56,37310.01,848.37,2.2,113.1,65.4,64.6,"적으로 개발ㆍ생산하면서확보한 기술력을 바탕으로 해외 유수의 업체와 시장에서 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가됨. &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요"
고바이오랩,2020-11-18,코스닥,기술평가특례,기술특례(성장성),"대신증권(주),삼성증권(주)",바이오/헬스케어,15000,300.0,2531.5,64.33,0.03,162.0,124.3,64.3,"당사는 기술성장기업으로 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일로부터 상장일이 속한 사업연도의 말일까지 기간이 3월미만인 경우에 는 그 다음 사업연도), 세전 이익 요건"
클리노믹스,2020-12-04,코스닥,기술평가특례,기술특례(성장성),대신증권(주),바이오/헬스케어,13900,274.15,1926.17,494.2,2.05,30.9,11.9,-15.8,당사는 코스닥시장 상장요건 중 기술성장기업 중 ‘성장성추천’ 적용 기업으로 상장예비심사 승인을 득
