회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
프레스티지바이오로직스,2021-03-11,코스닥,"미래에셋증권 주식회사,유안타증권(주)",기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
싸이버원,2021-03-11,코스닥,키움증권(주),일반,일반,
네오이뮨텍,2021-03-16,코스닥,,기술특례,기술평가특례,"당사는 「코스닥시장 상장규정」제7조제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목)제1항제2호 및 제3호, 제38조(상장의 폐지)제1항제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 "
바이오다인,2021-03-17,코스닥,대신증권(주),이익미실현,이익미실현,"자께서는 유의하시기 바랍니다. &cr; 사. 공모가 산정방식의 한계에 따른 위험 &cr;&cr;당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
SK바이오사이언스,2021-03-18,유가증권,엔에이치투자증권(주),일반,일반,
라이프시맨틱스,2021-03-23,코스닥,한국투자증권(주),기술특례,성장성/사업모델,스닥시장 상장요건 중 전문평가기관의 사업모델 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(사업모델기업)입니다. 통상 기술성장기업특례를 적용 받아 상장예비심사를 청구하는 기업은 사업의 성과가본격화되기 전이기 때문에 안정적인
자이언트스텝,2021-03-24,코스닥,한국투자증권(주),기술특례,성장성/사업모델,"전문평가기관(2개 기관)으로부터 사전에 기술평가를 받아야하며, 당사는 한국기업데이터와 한국산업기술평가관리원으로부터 'KRX 사업평가등급 A, BBB'를 득하였습니다. &cr; [ 전문평가기관의 종합의견 ] 구 분 평가등급 종 합 의 견 한국기업데이터 A ■ ㈜"
제노코,2021-03-24,코스닥,DB증권주식회사,기술특례,기술평가특례,"확보해 기술진입장벽을 구축할 가능성이 높으며, 제품 경쟁력 및 품질 경쟁력을 일정 수준 이상 갖추고 있는 것으로 판단되는 바 기술평가등급을 'BBB'로 평가함. &cr;기술성장기업 상장특례 적용 기업은 코스닥시장 상장예비심사 청구 시 벤처기업의 외형요건 중 경영"
엔시스,2021-04-01,코스닥,미래에셋증권 주식회사,일반,일반,
해성티피씨,2021-04-21,코스닥,한국투자증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2021년 02월 18일 상장예비심사 승인을 득"
이삭엔지니어링,2021-04-21,코스닥,신한투자증권 주식회사,일반,일반,
쿠콘,2021-04-28,코스닥,"삼성증권(주),하나증권주식회사",일반,일반,
SK아이이테크놀로지,2021-05-11,유가증권,"미래에셋증권 주식회사,제이피모간증권회사 서울지점",일반,일반,
에이치피오,2021-05-14,코스닥,대신증권(주),일반,일반,
씨앤씨인터내셔널,2021-05-17,코스닥,엔에이치투자증권(주),일반,일반,
샘씨엔에스,2021-05-20,코스닥,대신증권(주),기술특례,기술평가특례,"당사는 상기 소재·부품 전문기업에 대한 상장지원방안 및 기술성장기업에 대한 특례 요건을 적 용 받아 2021년 1월 5일 코스닥시장 상장예비심사를 청구하였으며, 2021년 4월 8일 상장예비심사 승인을 득"
삼영에스앤씨,2021-05-21,코스닥,미래에셋증권 주식회사,기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에해당하는
제주맥주,2021-05-26,코스닥,대신증권(주),이익미실현,이익미실현,"께서는 유의하시기 바랍니다. &cr; (바) 공모가 산정방식의 한계에 따른 위험&cr; &cr;당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
진시스템,2021-05-26,코스닥,삼성증권(주),기술특례(성장성),기술평가특례,전문평가기관의 평가내역] 구분 평가기관 평가대상기술명 평가결과 진단일 기술기반기업 한국기업데이터㈜ 현장 분자진단 플랫폼 기술 기술평가등급 A 20.10.15 ㈜이크레더블 신속 현장 분자진단 플랫폼 개발 기술 기술평가등급 A 20.10.15 '한국기업데이터㈜' 종
에이디엠코리아,2021-06-03,코스닥,하나증권주식회사,일반,일반,
이성씨엔아이,2021-06-04,코스닥,교보증권(주),(NULL),(문서없음),
엘비루셈,2021-06-11,코스닥,"한국투자증권(주),KB증권(주)",일반,일반,
라온테크,2021-06-17,코스닥,,일반,(문서없음),
이노뎁,2021-06-18,코스닥,iM증권,일반,일반,
타임기술,2021-06-24,코스닥,한국투자증권(주),(NULL),(문서없음),
아모센스,2021-06-25,코스닥,신한투자증권 주식회사,기술특례,기술평가특례,"노하우를 축적한 기술로 경쟁업체 대비 두께 개선, 충전효율 향상, 맞춤 설계 등의 기술적 경쟁력을 가지고 있다고 판단되는 바 기술평가등급을 'A'로 평가함. &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다.&cr"
엠씨넥스,2021-07-06,유가증권,,일반,(문서없음),
오비고,2021-07-13,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,시장 규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. 이크레더블 AA 동사
에스디바이오센서,2021-07-16,유가증권,"한국투자증권(주),엔에이치투자증권(주)",일반,일반,
큐라클,2021-07-22,코스닥,삼성증권(주),기술특례,기술평가특례,의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 이상 수준으로 평가함. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않으며 높은 수준의 기술력을 가진 기업으로 A 수준으로 의견 제시함 [최근 3개년 요약손
맥스트,2021-07-27,코스닥,하나증권주식회사,기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 각각 A, BBB 등급 이상을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2021년 05월 20일 상장예비심사 승인을 득"
에브리봇,2021-07-28,코스닥,,일반,일반,
카카오뱅크,2021-08-06,유가증권,"KB증권(주),CS증권 서울지점",일반,일반,
HK이노엔,2021-08-09,코스닥,"한국투자증권(주),제이피모간증권회사 서울지점,삼성증권(주)",일반,일반,
PI첨단소재,2021-08-09,유가증권,,일반,(문서없음),
크래프톤,2021-08-10,유가증권,미래에셋증권 주식회사,일반,일반,
원티드랩,2021-08-11,코스닥,한국투자증권(주),기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
플래티어,2021-08-12,코스닥,KB증권(주),일반,일반,
엠로,2021-08-13,코스닥,,일반,일반,
딥노이드,2021-08-17,코스닥,KB증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여, 평가결과가 일정 등급 이상일 경우 적용되는 기술성장기업 특례를 적용 받"
한컴라이프케어,2021-08-17,유가증권,미래에셋증권 주식회사,일반,일반,
브레인즈컴퍼니,2021-08-19,코스닥,키움증권(주),일반,일반,
롯데렌탈,2021-08-19,유가증권,"한국투자증권(주),엔에이치투자증권(주)",일반,일반,
아주스틸,2021-08-20,유가증권,미래에셋증권 주식회사,일반,일반,
바이젠셀,2021-08-25,코스닥,"대신증권(주),KB증권(주)",기술특례,기술평가특례,"전략이 필요한 것으로 사료됨. 동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 [BBB]로 의견을 제시함 이와 같이 당사는 외부평가 기관으로부터 기술평가특례 상장 기준에 부합하는 결과를 수령하였으나, 이"
일진하이솔루스,2021-09-01,유가증권,"미래에셋증권 주식회사,삼성증권(주)",일반,일반,
에이비온,2021-09-08,코스닥,,기술특례,기술평가특례,어 성장성은 높은 수준으로 판단된다. 동사는 높은 수준의 기술력을 보유하고 장래의 환경변화에 크게 영향을 받지 않을 기업으로 기술평가등급[A]로 의견을 제시한다.&cr; SCI평가정보 BBB ○ 에이비온(주)(이하 '동사')의 핵심기술은 비소세포성폐암(Non-s
와이엠텍,2021-09-10,코스닥,KB증권(주),일반,일반,
현대중공업,2021-09-17,유가증권,"한국투자증권(주),CS증권 서울지점,미래에셋증권 주식회사",일반,일반,
바이오플러스,2021-09-27,코스닥,키움증권(주),일반,일반,
프롬바이오,2021-09-28,코스닥,엔에이치투자증권(주),이익미실현,이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사는 상장 이후에도 적자를 시현할 가능성이 존재하며, 적자가 지속될 경우 재무구조가 악"
실리콘투,2021-09-29,코스닥,"미래에셋증권 주식회사,삼성증권(주)",일반,일반,
에스앤디,2021-09-29,코스닥,,일반,일반,
아스플로,2021-10-07,코스닥,미래에셋증권 주식회사,일반,일반,
원준,2021-10-07,코스닥,엔에이치투자증권(주),일반,일반,
씨유테크,2021-10-08,코스닥,대신증권(주),일반,일반,
케이카,2021-10-13,유가증권,"엔에이치투자증권(주),골드만삭스증권 서울지점",일반,일반,
토마토시스템,2021-10-14,코넥스,교보증권(주),(NULL),일반,
지아이텍,2021-10-21,코스닥,미래에셋증권 주식회사,일반,일반,
차백신연구소,2021-10-22,코스닥,삼성증권(주),기술특례,기술평가특례,"련이 필요한 것으로 판단된다. 동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가 등급 [BBB]로 의견을 제시한다. &cr;이와 같이 당사는 외부평가 기관으로부터 기술평가특례 상장 기준에 부합하는 결과를 통보"
젬,2021-10-22,코스닥,해당없음,(NULL),(문서없음),
아이패밀리에스씨,2021-10-28,코스닥,삼성증권(주),일반,일반,
리파인,2021-10-29,코스닥,KB증권(주),일반,일반,
지앤비에스엔지니어링,2021-10-29,코스닥,삼성증권(주),일반,일반,
엔켐,2021-11-01,코스닥,"신한투자증권 주식회사,대신증권(주)",일반,일반,
피코그램,2021-11-03,코스닥,IBK투자증권(주),일반,일반,
카카오페이,2021-11-03,유가증권,"삼성증권(주),골드만삭스증권 서울지점,제이피모간증권회사 서울지점",일반,일반,
지니너스,2021-11-08,코스닥,대신증권(주),기술특례,기술평가특례,"당사는 「코스닥시장 상장규정」제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4호의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 "
비트나인,2021-11-10,코스닥,하나증권주식회사,기술특례,기술평가특례,모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 높은 수준 의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A 로 의견 제시함&cr; 이크레더블
디어유,2021-11-10,코스닥,한국투자증권(주),이익미실현,이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사는 2021년 반기 기준 영업이익 및 당기순이익이 흑자전환되었으나, 향후 상장 이후에"
지오엘리먼트,2021-11-11,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용되는 기술성장기업 특례를 적용 받
아이티아이즈,2021-11-11,코스닥,신한투자증권 주식회사,일반,일반,
트윔,2021-11-17,코스닥,대신증권(주),일반,일반,
바이옵트로,2021-11-18,코스닥,,일반,일반,
알비더블유,2021-11-22,코스닥,미래에셋증권 주식회사,일반,일반,
마인즈랩,2021-11-23,코스닥,"엔에이치투자증권(주),하나증권주식회사",기술특례,일반,
켈스,2021-11-30,코스닥,키움증권(주),(NULL),(문서없음),
툴젠,2021-12-10,코스닥,,기술특례,기술평가특례,"㈜라트바이오 2021.08 CRISPR 유전자가위 기술 관련 License-out ㈜젬크로 2021.09 기술특례상장을 위한 기술평가 등급 획득 SCI평가정보: A, 농업기술실용화재단: A 2021.11 한국거래소 상장예비심사 승인 - 주) 상기 CRISPR 유전"
제이엠멀티,2021-12-13,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
예스피치,2021-12-14,코스닥,한국투자증권(주),(NULL),(문서없음),
케이티비네트워크,2021-12-16,코스닥,한국투자증권(주),일반,일반,
래몽래인,2021-12-30,코스닥,,일반,(문서없음),
오토앤,2022-01-20,코스닥,미래에셋증권 주식회사,일반,일반,
코스텍시스템,2022-01-21,코스닥,대신증권(주),(NULL),(문서없음),
케이옥션,2022-01-24,코스닥,신영증권(주),이익미실현,일반,
애드바이오텍,2022-01-24,코스닥,,기술특례,기술평가특례,"(소재부품장비 기술개발) 2020.12 중소벤처기업부 장관표창(벤처기업진흥 유공) 2020.12 코스닥시장 상장 추진을 위한 기술평가 등급 수령 (한국기업데이터A, 농업실용화재단BBB) 2021.02 지식재산 경영인증(특허청) 2021.04 글로벌 강소기업 선정("
LG에너지솔루션,2022-01-27,유가증권,"KB증권(주),모간스탠리인터내셔날증권회사 서울지점",일반,일반,
스코넥,2022-02-04,코스닥,신영증권(주),기술특례,기술평가특례,"의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 A 수준으로 의견 제시함 &cr;한편, 상장예비심사를"
이지트로닉스,2022-02-04,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,로 판매하고 있는 점과 DC 배전 및 폐배터리 재활용 컨버터 등의 기술을 꾸준히 개발하고 있는 점 등을 종합적으로 고려할 때 기술평가등급은 [A]로 평가됨. 기술성장기업 상장특례 적용 기업은 코스닥시장 상장예비심사 청구 시 벤처기업의 외형요건 중 경영성과 요건
아셈스,2022-02-07,코스닥,한국투자증권(주),일반,일반,
나래나노텍,2022-02-08,코스닥,미래에셋증권 주식회사,일반,일반,
인카금융서비스,2022-02-16,코스닥,,일반,일반,
바이오에프디엔씨,2022-02-21,코스닥,DB증권주식회사,기술특례,기술평가특례,"것으로 사료된다.&cr;&cr;동사는 우수한 기술력을 보유하고 있으나, 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 [BBB]로 의견을 제시함. &cr;한편, 코스닥시장 상장을 위해 상장예비심사를 청구하는 기업의 유형별 주요 외형요건은 아래"
퓨런티어,2022-02-23,코스닥,"신한투자증권 주식회사,유안타증권(주)",기술특례,기술평가특례,"규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. 한편, 상장예비심사를"
브이씨,2022-02-24,코스닥,한국투자증권(주),일반,일반,
스톤브릿지벤처스,2022-02-25,코스닥,"KB증권(주),삼성증권(주)",일반,일반,
풍원정밀,2022-02-28,코스닥,대신증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관으로부터 기술 등에 대한 평가를 받아 A 등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술특례상장)으로서, 2021년 12월 16일 상장예비심사 승인을 득"
비씨엔씨,2022-03-03,코스닥,엔에이치투자증권(주),일반,일반,
노을,2022-03-03,코스닥,"한국투자증권(주),삼성증권(주)",기술특례,기술평가특례,의 시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않을 높은 수준의 기술력을 보유한 A 수준으로 의견 제시함. 이크레더블 A 동사는 핵심
모아데이타,2022-03-10,코스닥,하나증권주식회사,기술특례,기술평가특례,"당사는 기술성장기업(기술 특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2022년도를 포함한 연속하는 5개 사업연도 (2026년도까지), 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도를 포함한 연속하는 3개 사업연도(2024년도까지)에 대해서는 해당 요건을 적용받"
유일로보틱스,2022-03-18,코스닥,한국투자증권(주),일반,일반,
공구우먼,2022-03-23,코스닥,미래에셋증권 주식회사,일반,일반,
세아메카닉스,2022-03-24,코스닥,신한투자증권 주식회사,일반,일반,
지투파워,2022-04-01,코스닥,"한국투자증권(주),KB증권(주)",일반,일반,
포바이포,2022-04-28,코스닥,미래에셋증권 주식회사,일반,일반,
대명에너지,2022-05-16,코스닥,"한국투자증권(주),삼성증권(주)",일반,일반,
가온칩스,2022-05-20,코스닥,대신증권(주),일반,일반,
청담글로벌,2022-06-03,코스닥,"대신증권(주),KB증권(주)",일반,일반,
코나솔,2022-06-15,코스닥,한국투자증권(주),(NULL),(문서없음),
범한퓨얼셀,2022-06-17,코스닥,"한국투자증권(주),엔에이치투자증권(주)",일반,일반,
비플라이소프트,2022-06-20,코스닥,,기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 2개 기관(한국기업데이터, 나이스평가정보)으로부터 A, BBB 등급을 취득한 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2022년 04월 07일 상장예비심사 승인을 득"
위니아에이드,2022-06-23,코스닥,신한투자증권 주식회사,일반,일반,
보로노이,2022-06-24,코스닥,"한국투자증권(주),미래에셋증권 주식회사",기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 기술성장특례 요건, 특히 시장평가 우수기업 기술평가 절차 간소화를 적용 받"
레이저쎌,2022-06-24,코스닥,삼성증권(주),기술특례,기술평가특례,성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨 .&cr;&cr;O 동사의 최종기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A 로 의견 제시함 &cr; 당사가 수령
넥스트칩,2022-07-01,코스닥,대신증권(주),기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일로부터 상장일이 속한 사업연도의 말일까지 기간이 3월미만인 경우에는 그 다음 사업연도), 세전이익 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도(상장일로부터 상장일이 속한 사엽연도의 말일까지의 기간이 3월미만인 경우에는 "
코난테크놀로지,2022-07-07,코스닥,한국투자증권(주),기술특례,기술평가특례,"모 및 성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 크게 영향을 받지 않을 수준의 높은 기술력을 가진 A 수준으로 의견 제시함 한편, 코스닥시장 상장을 위해"
영창케미칼,2022-07-14,코스닥,하나증권주식회사,기술특례,기술평가특례,". 현재 동사의 핵심기술의 기술적, 사업적 우위성 측면과 반도체 소재의 국산화 기술이라는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가된다. SCI&cr;평가정보 A 1. 기술성 영창케미칼 주식회사(이하 '동사')는 고성능 반도체 패턴용 공정소"
HPSP,2022-07-15,코스닥,엔에이치투자증권(주),일반,일반,
바스칸바이오제약,2022-07-20,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
루닛,2022-07-21,코스닥,엔에이치투자증권(주),기술특례,일반,
퓨쳐메디신,2022-07-27,코스닥,엔에이치투자증권(주),(NULL),(문서없음),
성일하이텍,2022-07-28,코스닥,"대신증권(주),KB증권(주)",이익미실현,이익미실현,"유의하시기 바랍니다.&cr;&cr; 마. 공모가 산정방식의 한계에 따른 위험&cr; &cr;당사는 「코스닥시장 상장규정」 제28조 제1항 제2호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요건 중 수익성 및 매출액 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는"
에이프릴바이오,2022-07-28,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,을 종합적으로 고려할 시 동사는 우수한 기술력을 보유한 기업이나 장래의 환경변화에 상당한 영향을 받을 수있는기업으로 판단되어 기술평가등급[BBB]로 의견을 제시함. 【 최근 3개년 요약 손익계산서 】 (단위: 백만원) 과목 2019년&cr;(제7기) 2020년&
아이씨에이치,2022-07-29,코스닥,삼성증권(주),기술특례,기술평가특례,"로 판단됨. 결론적으로 동사는 높은 수준의 기술력을 보유하고 장래의 환경변화에 크게 영향을 받지 않을 기업으로 판단되는 바, 기술평가등급[A]로 의견을 제시함. 당사가 수령한 A등급은 기술기반기업 전문평가의 평가등급 체계 및 등급별 정의에 의하면 높은 수준의 기"
수산인더스트리,2022-08-01,유가증권,삼성증권(주),일반,일반,
새빗켐,2022-08-04,코스닥,한국투자증권(주),일반,일반,
에이치와이티씨,2022-08-09,코스닥,신영증권(주),일반,일반,
대성하이텍,2022-08-22,코스닥,신한투자증권 주식회사,일반,일반,
쏘카,2022-08-22,유가증권,미래에셋증권 주식회사,일반,일반,
오픈엣지테크놀로지,2022-09-26,코스닥,삼성증권(주),기술특례,일반,
티엘엔지니어링,2022-09-27,코스닥,유안타증권(주),(NULL),(문서없음),
알피바이오,2022-09-29,코스닥,한국투자증권(주),일반,일반,
더블유씨피,2022-09-30,코스닥,"신한투자증권 주식회사,KB증권(주)",이익미실현,이익미실현,"서비스를 제공받은 사실이 없습니다.(주9) 정정 전 바. 공모가 산정방식의 한계에 따른 위험 당사는 「코스닥시장 상장규정」 제28조 제1항 제2호 나목 에 의한 이익미실현 요건에 충족하는기업으로, 상장예비심사 외형요건 중 수익성 및 매출액 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는"
선바이오,2022-10-05,코스닥,,기술특례(성장성),기술평가특례,"평가기관 평가대상기술명 평가결과 평가일 성장성 기반기업 기술보증기금 다양한 PEG유도체 소재, PEGylation 핵심기술 기술평가등급 AA 21.05.10 한국기업데이터 생체고분자 PEG 유도체 소재, PEGylation 기술 응용제품 기술평가등급 A 20."
이노룰스,2022-10-07,코스닥,엔에이치투자증권(주),일반,일반,
모델솔루션,2022-10-07,코스닥,KB증권(주),일반,일반,
오에스피,2022-10-14,코스닥,대신증권(주),일반,일반,
에스비비테크,2022-10-17,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"해 2021년 9월 6일 기술평가를 신청하였으며, 한국거래소가 지정한 전문평가기관 나이스디앤비로부터 2021년 10월 18일 기술평가등급 A등급을 수령하였습니다. 상장규정상 기술성장기업으로서 기술특례상장 요건을 기준으로 상장예비심사 신청(청구)을 하기 위해서는"
탑머티리얼,2022-10-18,코스닥,한국투자증권(주),일반,일반,
샤페론,2022-10-19,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"가능성이 논의될 수 있을 것으로 판단됨. 동사는 차별화된 우수한 기술력을 보유하고 있고, 높은 성장 가능성을 보유한 기업으로 기술평가등급[A]로 의견을 제시함. 이와 같이 당사는 외부평가 기관으로부터 기술평가특례 상장 기준에 부합하는 결과를 통보 받았으나, 이러"
핀텔,2022-10-20,코스닥,대신증권(주),기술특례,기술평가특례,"증을 바탕으로 스마트시티 교통, 보안 분야 시장에서 국내 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨 한국산업기술 평가관리원 BBB 신청사는 6개의 세부 요소기술들을 통해 영상품질 손실이 없으면서도 고화질 동"
플라즈맵,2022-10-21,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받"
탈로스,2022-10-24,코스닥,DB증권(주),(NULL),(문서없음),
산돌,2022-10-27,코스닥,KB증권(주),일반,일반,
저스템,2022-10-28,코스닥,미래에셋증권 주식회사,일반,일반,
큐알티,2022-11-02,코스닥,미래에셋증권 주식회사,일반,일반,
LX세미콘,2022-11-03,유가증권,,일반,(문서없음),
뉴로메카,2022-11-04,코스닥,대신증권(주),기술특례,기술평가특례,"회사 기술성평가를 위한 2차 현장실사 (기술보증기금, 이크레더블) 21.11.16 뉴로메카 본사 1) 상장예비심사신청을 위한 기술평가 등급수령(기술보증기금, 이크레더블) 2) 사업계획에 따른 영업 진행 현황 검토 3) 상장요건 충족을 위한 사전 준비사항 검토 21"
제이아이테크,2022-11-04,코스닥,미래에셋증권 주식회사,일반,일반,
디티앤씨알오,2022-11-11,코스닥,키움증권(주),일반,일반,
윤성에프앤씨,2022-11-14,코스닥,미래에셋증권 주식회사,이익미실현,이익미실현,"조 제1항 제2호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 다만, 확정공모시가총액이 상장요건에서 정하는 시가총액 기준보다 낮게 결정되거나 공모수량이"
티쓰리,2022-11-17,코스닥,미래에셋증권 주식회사,일반,일반,
티에프이,2022-11-17,코스닥,IBK투자증권(주),일반,기술평가특례,"기술에 의한 향후 미래 성장가능성이 높으며, 미래 수익창출 가능성이 높은 기업으로 평가되었습니다. 동사가 수령한 평가결과 및 기술평가등급 체계 및 등급별 정의는 아래와 같습니다. 번호 인증/허가명 인증/허가 내용 평가결과 발행일자 발행기관 1 기술평가 우수기업인"
엔젯,2022-11-18,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"당사는 기술성장기업으로 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받"
유비온,2022-11-18,코스닥,,일반,일반,
