회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
시지트로닉스,2023-08-03,코스닥,유안타증권(주),기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용 받"
엠아이큐브솔루션,2023-08-04,코스닥,한국투자증권(주),일반,일반,
파두,2023-08-07,코스닥,"한국투자증권(주),엔에이치투자증권(주)",기술특례,기술평가특례,성 관련 자문 및 검토 한국거래소 기술평가 신청 2022.06.15 한국거래소 코스닥시장 기술성특례상장을 위한 기술평가 신청 기술평가 등급 수령 2022.09.16 기술평과 결과 수령(이크레더블 AA / 한국전자통신연구원 A) 기업실사 5차 2022.11.24 1
NICE평가정보,2023-08-08,유가증권,,일반,(문서없음),
큐리옥스바이오시스템즈,2023-08-10,코스닥,키움증권(주),기술특례,기술평가특례,당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업으로서 상장심사수수료 및 상장수수료 면제 대상에 해당합니다
코츠테크놀로지,2023-08-10,코스닥,한국투자증권(주),일반,일반,
빅텐츠,2023-08-17,코스닥,,일반,(문서없음),
넥스틸,2023-08-21,유가증권,하나증권주식회사,일반,일반,
스마트레이더시스템,2023-08-22,코스닥,대신증권(주),기술특례,기술평가특례,솔루션에 대한 설명- 현장 질의 응답 2022.11.25~2022.11.30 본사 회의실 1. 코스닥시장 기술특례상장을 위한 기술평가등급 수령- 기술평가 등급 확보에 따른 상장예비심사신청 일정 점검- 최근 기술성장기업 IPO 시장 동향 검토 2022.01.10~
시큐레터,2023-08-24,코스닥,대신증권(주),기술특례,기술평가특례,"당사는 기술성장기업(기술특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2023년도를 포함한 연속하는 5개 사업연도 (2027년도까지), 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도를 포함한 연속하는 3개 사업연도(2025년도까지)에 대해서는 해당 요건을 적용받"
한국피아이엠,2023-08-30,코넥스,아이비케이투자증권(주),(NULL),일반,
인스웨이브시스템즈,2023-09-25,코스닥,신영증권(주),일반,일반,
밀리의서재,2023-09-27,코스닥,미래에셋증권 주식회사,기술특례,일반,
한싹,2023-10-04,코스닥,KB증권(주),일반,일반,
두산로보틱스,2023-10-05,유가증권,"한국투자증권(주),CS증권 서울지점,KB증권(주),엔에이치투자증권(주),미래에셋증권 주식회사",일반,일반,
레뷰코퍼레이션,2023-10-06,코스닥,삼성증권(주),일반,일반,
아이엠티,2023-10-10,코스닥,유안타증권(주),기술특례,기술평가특례,당사는「코스닥시장 상장규정」 제30조제1항에서 정하는 기술성장기업으로서 면제 대상에 해당합니다
바이오텐,2023-10-13,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
퓨릿,2023-10-18,코스닥,미래에셋증권 주식회사,일반,일반,
신성에스티,2023-10-19,코스닥,미래에셋증권 주식회사,일반,일반,
에스엘에스바이오,2023-10-20,코스닥,,기술특례(성장성),일반,
워트,2023-10-26,코스닥,키움증권(주),일반,일반,
미쥬,2023-10-26,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
퀄리타스반도체,2023-10-27,코스닥,한국투자증권(주),기술특례,기술평가특례,"한 국내 유일의 업체로서, 세계 인터페이스 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨. [전문평가의 평가등급 체계 및 등급별 정의] 평가등급 등급별 정의 AAA 최고의 기술력을 가진 기업 (성"
유진테크놀로지,2023-11-02,코스닥,엔에이치투자증권(주),일반,일반,
유투바이오,2023-11-02,코스닥,,일반,일반,
쏘닉스,2023-11-07,코스닥,KB증권(주),기술특례,일반,
