회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
샘씨엔에스,2021-05-20,코스닥,기술평가특례,body,기술특례,대신증권(주),반도체/디스플레이,6500,780.0,3263.0,1537.67,26.07,6.0,-6.8,-3.4
삼영에스앤씨,2021-05-21,코스닥,성장성/사업모델,body,기술특례(성장성),미래에셋증권 주식회사,기계/장비,11000,121.55,1215.5,1762.39,15.27,26.8,8.2,-20.5
제주맥주,2021-05-26,코스닥,이익미실현,body,이익미실현,대신증권(주),소비재/유통,3200,267.58,2675.8,1356.43,5.47,36.4,-14.2,-22.2
진시스템,2021-05-26,코스닥,기술평가특례,body,기술특례(성장성),삼성증권(주),바이오/헬스케어,20000,285.0,2850.0,934.07,1.5,-25.3,-44.8,-48.8
아모센스,2021-06-25,코스닥,기술평가특례,body,기술특례,신한투자증권 주식회사,IT/소프트웨어,12400,344.7,1388.81,116.79,2.57,10.1,31.9,19.8
오비고,2021-07-13,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),IT/소프트웨어,14300,347.92,1720.74,1123.74,7.68,77.6,45.5,-26.9
큐라클,2021-07-22,코스닥,기술평가특례,body,기술특례,삼성증권(주),바이오/헬스케어,25000,533.33,5333.3,1219.27,7.23,99.0,-19.6,-23.2
맥스트,2021-07-27,코스닥,기술평가특례,body,기술특례,하나증권주식회사,IT/소프트웨어,15000,150.0,1500.0,1587.01,39.13,346.0,258.0,155.0
원티드랩,2021-08-11,코스닥,성장성/사업모델,body,기술특례(성장성),한국투자증권(주),IT/소프트웨어,35000,255.5,2468.1,1503.91,10.98,125.1,75.7,46.3
딥노이드,2021-08-17,코스닥,기술평가특례,body,기술특례,KB증권(주),IT/소프트웨어,42000,126.0,1260.0,1179.07,7.29,-4.2,-34.3,-57.0
바이젠셀,2021-08-25,코스닥,기술평가특례,body,기술특례,"대신증권(주),KB증권(주)",바이오/헬스케어,52700,994.17,9941.7,1271.21,13.61,-18.7,-53.1,-63.0
에이비온,2021-09-08,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,17000,387.6,,139.36,4.3,-0.6,-41.8,-42.5
프롬바이오,2021-09-28,코스닥,이익미실현,body,이익미실현,엔에이치투자증권(주),소비재/유통,18000,432.0,2547.9,85.71,1.45,-20.6,-49.1,-60.3
차백신연구소,2021-10-22,코스닥,기술평가특례,body,기술특례,삼성증권(주),바이오/헬스케어,11000,434.5,37078.95,206.23,1.93,-7.7,-31.1,-56.6
지니너스,2021-11-08,코스닥,기술평가특례,body,기술특례,대신증권(주),바이오/헬스케어,20000,400.0,2173.86,66.03,0.1,-36.7,-45.0,-63.6
비트나인,2021-11-10,코스닥,기술평가특례,body,기술특례,하나증권주식회사,IT/소프트웨어,11000,227.81,2278.1,1662.29,5.96,24.6,31.8,-38.8
디어유,2021-11-10,코스닥,이익미실현,body,이익미실현,한국투자증권(주),IT/소프트웨어,26000,858.0,8580.0,2001.11,37.46,172.3,73.7,-0.4
지오엘리먼트,2021-11-11,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),기계/장비,10000,154.7,4641.0,1613.84,15.23,352.5,120.0,143.5
툴젠,2021-12-10,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,70000,700.0,,29.54,0.1,15.4,-7.4,-25.3
애드바이오텍,2022-01-24,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,,,49.48,,,,,
스코넥,2022-02-04,코스닥,기술평가특례,body,기술특례,신영증권(주),엔터/미디어/게임,13000,289.42,2894.2,1724.66,59.95,69.6,-2.3,9.6
이지트로닉스,2022-02-04,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),2차전지/에너지,22000,435.6,1827.68,1343.51,2.94,-21.8,-33.2,-50.9
바이오에프디엔씨,2022-02-21,코스닥,기술평가특례,body,기술특례,DB증권주식회사,바이오/헬스케어,28000,364.0,2481.2,74.01,11.8,-30.9,-14.1,-35.6
퓨런티어,2022-02-23,코스닥,기술평가특례,body,기술특례,"신한투자증권 주식회사,유안타증권(주)",기계/장비,15000,240.0,2400.0,1535.42,11.08,37.3,77.0,42.3
풍원정밀,2022-02-28,코스닥,기술평가특례,body,기술특례,대신증권(주),반도체/디스플레이,15200,456.0,4560.0,1556.53,11.0,14.5,15.5,-32.5
노을,2022-03-03,코스닥,기술평가특례,body,기술특례,"한국투자증권(주),삼성증권(주)",바이오/헬스케어,10000,150.0,1950.0,31.5,0.0,-24.3,-30.2,-28.0
모아데이타,2022-03-10,코스닥,기술평가특례,body,기술특례,하나증권주식회사,IT/소프트웨어,20000,160.0,1600.0,114.19,0.87,-25.7,-34.5,56.2
비플라이소프트,2022-06-20,코스닥,기술평가특례,body,기술특례,,IT/소프트웨어,,,,111.05,0.76,,,
보로노이,2022-06-24,코스닥,기술평가특례,body,기술특례,"한국투자증권(주),미래에셋증권 주식회사",바이오/헬스케어,40000,520.0,14000.0,28.35,0.0,-5.8,-16.5,8.2
레이저쎌,2022-06-24,코스닥,기술평가특례,body,기술특례,삼성증권(주),기계/장비,16000,256.0,2560.0,1442.95,12.43,-17.2,-54.8,-33.8
넥스트칩,2022-07-01,코스닥,기술평가특례,body,기술특례,대신증권(주),반도체/디스플레이,13000,338.0,2574.0,1623.41,11.58,-5.0,-41.0,14.2
코난테크놀로지,2022-07-07,코스닥,기술평가특례,body,기술특례,한국투자증권(주),IT/소프트웨어,25000,300.0,2520.0,1482.6,7.07,3.4,9.4,175.2
영창케미칼,2022-07-14,코스닥,기술평가특례,body,기술특례,하나증권주식회사,화학/소재,18600,446.4,3720.0,1616.27,5.92,-25.3,-36.3,-27.2
성일하이텍,2022-07-28,코스닥,이익미실현,peer,이익미실현,"대신증권(주),KB증권(주)",화학/소재,50000,1335.0,10866.9,2269.68,38.66,130.2,93.6,153.4
에이프릴바이오,2022-07-28,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,16000,207.36,1789.36,14.43,10.66,27.5,7.8,23.8
아이씨에이치,2022-07-29,코스닥,기술평가특례,body,기술특례,삼성증권(주),소비재/유통,34000,401.2,3519.0,57.28,12.47,-29.6,-40.5,-47.4
오픈엣지테크놀로지,2022-09-26,코스닥,이익미실현,peer,기술특례,삼성증권(주),IT/소프트웨어,10000,338.5,4650.0,44.25,15.85,-4.0,130.5,98.8
더블유씨피,2022-09-30,코스닥,이익미실현,peer,이익미실현,"신한투자증권 주식회사,KB증권(주)",2차전지/에너지,60000,4320.0,20217.91,33.28,4.24,-16.9,-28.3,-4.2
선바이오,2022-10-05,코스닥,기술평가특례,body,기술특례(성장성),,바이오/헬스케어,,,67.76,,,,,
에스비비테크,2022-10-17,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,기계/장비,12400,223.2,1488.0,1644.01,32.54,99.6,420.2,280.6
샤페론,2022-10-19,코스닥,기술평가특례,body,기술특례,엔에이치투자증권(주),바이오/헬스케어,5000,137.35,1184.23,26.0,5.47,61.4,23.0,-15.0
핀텔,2022-10-20,코스닥,기술평가특례,body,기술특례,대신증권(주),IT/소프트웨어,8900,178.0,1780.0,558.92,8.74,24.2,-18.0,-44.4
플라즈맵,2022-10-21,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,7000,123.97,1239.7,39.78,1.91,-2.0,-12.1,-28.3
뉴로메카,2022-11-04,코스닥,기술평가특례,body,기술특례,대신증권(주),기계/장비,16900,253.5,2535.0,1652.13,7.6,-6.2,78.1,73.7
윤성에프앤씨,2022-11-14,코스닥,이익미실현,peer,이익미실현,미래에셋증권 주식회사,화학/소재,49000,977.43,7477.4,67.49,0.14,-11.6,179.0,138.8
티에프이,2022-11-17,코스닥,기술평가특례,body,일반,IBK투자증권(주),반도체/디스플레이,10500,283.5,2835.0,1295.18,5.3,-20.9,-15.4,278.1
엔젯,2022-11-18,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,기계/장비,10000,210.0,1052.08,42.15,6.0,9.0,152.0,27.0
인벤티지랩,2022-11-22,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,12000,124.8,247.0,14.37,0.0,-15.4,-26.7,9.5
SAMG엔터,2022-12-06,코스닥,성장성/사업모델,body,기술특례,엔에이치투자증권(주),엔터/미디어/게임,17000,238.0,1650.4,,,86.2,58.5,33.8
티이엠씨,2023-01-19,코스닥,기술평가특례,body,기술특례,한화투자증권(주),화학/소재,28000,504.0,616.0,31.33,0.42,33.0,82.9,65.0
오브젠,2023-01-30,코스닥,기술평가특례,body,기술특례,한국투자증권(주),IT/소프트웨어,18000,139.67,6033.96,98.49,2.22,252.2,143.9,36.1
샌즈랩,2023-02-15,코스닥,기술평가특례,body,기술특례,키움증권(주),IT/소프트웨어,10500,388.5,1586.65,1325.79,1.41,57.7,-11.9,-4.2
제이오,2023-02-16,코스닥,기술평가특례,body,기술특례,한국투자증권(주),건설/인프라,13000,520.0,900.0,352.61,4.33,111.2,113.5,55.8
자람테크놀로지,2023-03-07,코스닥,기술평가특례,body,기술특례,신영증권(주),반도체/디스플레이,22000,204.6,1620.0,1702.43,11.42,119.5,34.5,105.0
지아이이노베이션,2023-03-30,코스닥,기술평가특례,body,기술특례,"엔에이치투자증권(주),하나증권주식회사,삼성증권(주)",바이오/헬스케어,13000,260.0,2600.0,26.7,0.23,52.3,96.9,94.5
마이크로투나노,2023-04-26,코스닥,기술평가특례,body,기술특례,한국투자증권(주),반도체/디스플레이,15500,155.0,641.28,1716.98,10.83,35.2,-14.6,-6.5
에스바이오메딕스,2023-05-04,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,18000,135.0,1350.0,854.29,1.94,-17.6,-59.3,103.9
씨유박스,2023-05-19,코스닥,기술평가특례,body,기술특례,"신한투자증권 주식회사,SK증권(주)",IT/소프트웨어,15000,225.0,1865.59,86.44,3.69,-18.2,-50.4,-61.8
모니터랩,2023-05-19,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,IT/소프트웨어,9800,196.0,1960.0,1715.41,6.06,16.9,-37.2,-36.7
큐라티스,2023-06-15,코스닥,기술평가특례,body,기술특례,"대신증권(주),신영증권(주)",바이오/헬스케어,4000,140.0,4200.0,52.89,0.0,13.0,-36.1,-67.9
프로테옴텍,2023-06-16,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,,,,94.1,21.25,,,
알멕,2023-06-30,코스닥,이익미실현,peer,이익미실현,엔에이치투자증권(주),화학/소재,50000,500.0,5000.0,1697.23,51.12,59.0,-6.9,-29.7
오픈놀,2023-06-30,코스닥,성장성/사업모델,body,기술특례,하나증권주식회사,IT/소프트웨어,10000,165.0,21916.1,510.36,0.58,-28.2,12.8,-40.6
이노시뮬레이션,2023-07-06,코스닥,기술평가특례,body,기술특례,하나증권주식회사,IT/소프트웨어,15000,135.0,1042.06,1869.47,5.98,-3.5,15.4,-47.5
센서뷰,2023-07-19,코스닥,기술평가특례,body,기술특례,삼성증권(주),화학/소재,4500,175.5,1755.0,1673.33,7.41,-8.9,26.5,-25.6
와이랩,2023-07-20,코스닥,성장성/사업모델,body,기술특례(성장성),한국투자증권(주),엔터/미디어/게임,9000,270.0,5563.6,1821.64,14.72,49.6,3.4,-9.6
버넥트,2023-07-26,코스닥,기술평가특례,body,기술특례,대신증권(주),IT/소프트웨어,16000,307.2,3072.0,1520.08,8.63,-28.2,-41.8,-69.9
파로스아이바이오,2023-07-27,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,14000,196.0,19650.12,303.31,1.32,12.5,2.1,-9.6
시지트로닉스,2023-08-03,코스닥,기술평가특례,body,기술특례,유안타증권(주),반도체/디스플레이,25000,225.0,1620.0,1703.85,5.62,-20.2,-49.1,-59.0
파두,2023-08-07,코스닥,기술평가특례,body,기술특례,"한국투자증권(주),엔에이치투자증권(주)",반도체/디스플레이,31000,1937.5,19375.0,362.9,21.87,36.9,-33.7,-44.5
큐리옥스바이오시스템즈,2023-08-10,코스닥,기술평가특례,body,기술특례,키움증권(주),바이오/헬스케어,13000,182.0,1041.43,191.61,2.63,393.9,162.3,216.1
