회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
디앤씨미디어,2017-08-01,코스닥,일반,0,0,2,0,20170721000127.xml
지니언스,2017-08-02,코스닥,일반,0,0,1,0,20170721000037.xml
데이타솔루션,2017-08-03,코스닥,일반,0,0,0,0,20170721000020.xml
모트렉스,2017-08-04,코스닥,일반,0,0,0,0,20170725000075.xml
컬러레이,2017-08-10,코스닥,일반,0,0,1,0,20170728000441.xml
알에스오토메이션,2017-08-11,코스닥,일반,0,0,3,0,20170727000227.xml
포인트엔지니어링,2017-08-14,코넥스,(NULL),0,0,3,0,20161205000034.xml
이더블유케이,2017-08-22,코스닥,일반,0,0,2,0,20170808000042.xml
명진홀딩스,2017-08-24,코스닥,(NULL),0,0,0,0,
덕우전자,2017-08-28,코스닥,일반,0,0,0,0,20170814000056.xml
시그넷이브이,2017-08-30,코스닥,(NULL),0,0,0,0,
케이피에스,2017-09-06,코스닥,일반,0,0,0,0,
두원석재,2017-09-08,코스닥,(NULL),0,0,0,0,
펄어비스,2017-09-14,코스닥,일반,0,0,0,0,20170901000255.xml
샘코,2017-09-15,코스닥,기술특례,0,0,5,0,20170905000306.xml
앱클론,2017-09-18,코스닥,기술특례,0,0,6,0,20170906000121.xml
선익시스템,2017-09-20,코스닥,일반,0,0,2,0,20170908000030.xml
엠플러스,2017-09-20,코스닥,일반,0,0,2,0,20170908000341.xml
유티아이,2017-09-27,코스닥,일반,0,0,2,0,20170914000418.xml
신흥에스이씨,2017-09-27,코스닥,일반,0,0,3,0,20170914000331.xml
에스엔피월드,2017-09-28,코스닥,일반,0,0,2,0,20170918000109.xml
야스,2017-09-29,코스닥,일반,0,0,0,0,20170919000194.xml
상신전자,2017-10-16,코스닥,일반,0,0,0,0,20170925000007.xml
세원,2017-10-20,코스닥,일반,0,0,0,0,
영화테크,2017-10-26,코스닥,일반,0,0,2,0,20171016000066.xml
탑선,2017-10-27,코스닥,(NULL),0,0,0,0,
티에스아이,2017-10-30,코넥스,(NULL),0,0,9,33,20200709000289.xml
테이팩스,2017-10-31,유가증권,일반,0,0,4,0,20171020000342.xml
에프엠에스,2017-10-31,코스닥,(NULL),0,0,0,0,
티슈진,2017-11-06,코스닥,일반,0,0,0,0,
비디아이,2017-11-09,코스닥,일반,0,0,2,0,20171020000001.xml
미디어젠,2017-11-10,코넥스,(NULL),0,0,12,2,20191002000166.xml
스튜디오드래곤,2017-11-24,코스닥,일반,0,0,2,0,20171115000127.xml
삼양패키징,2017-11-29,유가증권,일반,0,0,0,0,20171117000029.xml
비즈니스온,2017-11-30,코스닥,일반,0,0,5,0,20171120000078.xml
대원,2017-12-01,코스닥,일반,0,0,1,0,20171121000228.xml
체리부로,2017-12-04,코스닥,일반,0,0,2,0,20171120000164.xml
에스트래픽,2017-12-05,코스닥,일반,0,0,2,0,20171122000164.xml
메카로,2017-12-06,코스닥,일반,0,0,1,0,20171124000137.xml
씨티케이코스메틱스,2017-12-07,코스닥,일반,0,0,0,0,20171124000037.xml
동양피스톤,2017-12-08,유가증권,일반,0,0,2,0,20171127000116.xml
진에어,2017-12-08,유가증권,일반,0,0,1,0,20171128000038.xml
휴럼,2017-12-12,코넥스,(NULL),0,0,1,0,20200605000140.xml
씨알푸드,2017-12-14,코스닥,(NULL),0,0,0,0,
바이오시네틱스,2017-12-15,코스닥,(NULL),0,0,0,0,
디바이스이엔지,2017-12-20,코스닥,일반,0,0,0,0,20171207000123.xml
라이프사이언스테크놀로지,2017-12-21,코스닥,(NULL),0,0,0,0,
탈모닷컴,2017-12-22,코스닥,(NULL),0,0,0,0,
시스웍,2017-12-26,코스닥,일반,0,0,1,0,20171213000011.xml
씨앤지하이테크,2018-01-25,코스닥,일반,0,0,2,0,20180115000154.xml
SG,2018-01-26,코스닥,일반,0,0,2,0,20180122000271.xml
배럴,2018-02-01,코스닥,일반,0,0,1,0,20171227000113.xml
링크제니시스,2018-02-05,코스닥,일반,0,0,7,0,20180110000359.xml
카페24,2018-02-08,코스닥,이익미실현,0,0,6,31,20180126000180.xml
셀트리온,2018-02-09,유가증권,일반,0,0,0,0,20230922000383.xml
알리코제약,2018-02-12,코스닥,일반,0,0,5,0,20180131000083.xml
아시아종묘,2018-02-12,코스닥,일반,0,0,19,0,20180131000359.xml
동구바이오제약,2018-02-13,코스닥,일반,0,0,8,0,20180202000110.xml
엔지켐생명과학,2018-02-21,코스닥,기술특례,0,0,25,0,20180207000115.xml
오스테오닉,2018-02-22,코스닥,기술특례,0,0,24,0,20180206000347.xml
린드먼아시아,2018-03-14,코스닥,일반,0,0,3,0,20180302000158.xml
에코마이스터,2018-03-15,코스닥,기술특례,0,0,40,0,20180302000254.xml
애경산업,2018-03-22,유가증권,일반,0,0,1,0,20180312000178.xml
케어랩스,2018-03-28,코스닥,일반,0,0,1,0,20180315000128.xml
위세아이텍,2018-04-02,코넥스,(NULL),0,0,4,0,20191230000053.xml
JTC,2018-04-06,코스닥,일반,0,0,2,0,20180323000111.xml
에스제이켐,2018-04-27,코스닥,(NULL),0,0,0,0,
다이노나,2018-05-08,코넥스,(NULL),0,0,2,0,20200528000979.xml
디피코,2018-05-16,코스닥,(NULL),0,0,0,0,
제노레이,2018-05-28,코스닥,일반,0,0,0,0,20180515000471.xml
세종메디칼,2018-05-29,코스닥,일반,0,0,2,0,20180517000237.xml
현대사료,2018-06-01,코스닥,일반,0,0,2,0,20180521000392.xml
파워넷,2018-06-07,코스닥,일반,0,0,7,0,20180528000160.xml
에스엠비나,2018-06-25,코스닥,(NULL),0,0,0,0,
EDGC,2018-06-26,코스닥,일반,0,0,17,0,20180614000657.xml
지앤이바이오텍,2018-06-29,코스닥,(NULL),0,0,0,0,
엘리비젼,2018-07-05,코스닥,(NULL),0,0,0,0,
SV인베스트먼트,2018-07-06,코스닥,일반,0,0,3,0,20180625000357.xml
아이큐어,2018-07-12,코스닥,기술특례,0,0,12,2,20180703000382.xml
테크트랜스,2018-07-13,코스닥,(NULL),0,0,0,0,
올릭스,2018-07-18,코스닥,기술특례,0,0,14,6,20180706000084.xml
엠코르셋,2018-07-23,코스닥,일반,0,0,0,0,20180711000152.xml
한국유니온제약,2018-07-26,코스닥,일반,0,0,2,0,20180712000074.xml
롯데정보통신,2018-07-27,유가증권,일반,0,0,2,0,20180716000174.xml
티웨이항공,2018-08-01,유가증권,일반,0,0,1,0,20180720000389.xml
휴네시온,2018-08-02,코스닥,일반,0,0,1,0,20180724000062.xml
에스에스알,2018-08-06,코스닥,일반,0,0,1,0,20180725000033.xml
디아이티,2018-08-07,코스닥,일반,0,0,1,0,20180724000021.xml
엔케이맥스,2018-08-09,코스닥,(NULL),0,0,0,0,
대유,2018-08-10,코스닥,일반,0,0,4,0,20180723000060.xml
더콘텐츠온,2018-08-13,코스닥,(NULL),0,0,0,0,
리메드,2018-08-14,코넥스,(NULL),0,0,9,31,20191119000020.xml
바이오솔루션,2018-08-20,코스닥,기술특례,0,0,15,0,20180807000303.xml
에이피티씨,2018-08-23,코스닥,일반,0,0,1,0,20180810000555.xml
오파스넷,2018-08-24,코스닥,일반,0,0,2,0,20180810000047.xml
액트로,2018-08-28,코스닥,일반,0,0,4,0,20180814000786.xml
디지캡,2018-09-07,코스닥,일반,0,0,3,0,20180822000022.xml
엔솔바이오,2018-09-10,코스닥,(NULL),0,0,0,0,
명성티엔에스,2018-09-13,코스닥,일반,0,0,4,0,20180903000020.xml
우진아이엔에스,2018-09-14,유가증권,일반,0,0,0,0,20180904000072.xml
지티지웰니스,2018-09-21,코스닥,일반,0,0,0,0,
크리스에프앤씨,2018-10-01,코스닥,일반,0,0,4,0,20180914000648.xml
하나제약,2018-10-02,유가증권,일반,0,0,4,0,20180914000010.xml
푸드나무,2018-10-04,코스닥,일반,0,0,2,0,20180914000568.xml
나우아이비캐피탈,2018-10-04,코스닥,일반,0,0,2,0,20180913000135.xml
에스퓨얼셀,2018-10-15,코스닥,일반,0,0,6,0,20180921000110.xml
로보티즈,2018-10-26,코스닥,일반,1,0,31,0,20181015000477.xml
옵티팜,2018-10-26,코스닥,기술특례,1,0,31,0,20181015000183.xml
엘앤씨바이오,2018-11-01,코스닥,일반,0,0,5,0,20181022000079.xml
노바텍,2018-11-02,코스닥,일반,0,0,1,0,20181022000097.xml
